Geneid	Samtools sort on data 87
AT1G01010	328
AT1G01020	126
AT1G03987	1
AT1G01030	74
AT1G01040	947
AT1G03993	0
AT1G01046	2
AT1G01050	1002
AT1G03997	0
AT1G01060	100
AT1G01070	213
AT1G04003	0
AT1G01080	1603
AT1G01090	3085
AT1G01100	1889
AT1G01110	19
AT1G01120	921
AT1G01130	19
AT1G01140	5029
AT1G01150	0
AT1G01160	521
AT1G04007	7
AT1G01170	809
AT1G04013	2
AT1G01180	794
AT1G08765	0
AT1G01183	0
AT1G01190	91
AT1G01200	7
AT1G01210	131
AT1G04017	0
AT1G01220	678
AT1G04023	0
AT1G01225	29
AT1G01230	848
AT1G01240	1837
AT1G01250	36
AT1G01260	355
AT1G01270	0
AT1G01280	0
AT1G01290	397
AT1G01300	871
AT1G01305	0
AT1G01310	0
AT1G01320	7684
AT1G01335	0
AT1G01340	329
AT1G01350	415
AT1G01355	13
AT1G01360	376
AT1G01370	21
AT1G01380	4
AT1G01390	243
AT1G01400	0
AT1G01410	0
AT1G01420	480
AT1G01430	2086
AT1G01440	910
AT1G01448	155
AT1G01450	0
AT1G01453	0
AT1G01460	0
AT1G01470	2950
AT1G01480	15
AT1G01490	2742
AT1G01500	817
AT1G01510	795
AT1G01520	10
AT1G01530	1
AT1G01540	1329
AT1G01550	6568
AT1G01560	339
AT1G01570	29
AT1G01580	52
AT1G01590	23
AT1G01600	3
AT1G01610	961
AT1G01620	9769
AT1G01630	1525
AT1G01640	80
AT1G01650	1114
AT1G04027	10
AT1G01660	37
AT1G01670	141
AT1G01680	289
AT1G01690	53
AT1G01695	4
AT1G08775	0
AT1G04033	0
AT1G04037	4
AT1G01700	30
AT1G01710	1118
AT1G01715	53
AT1G01720	1024
AT1G04043	0
AT1G01725	116
AT1G04047	3
AT1G01730	560
AT1G01740	184
AT1G01750	5
AT1G04053	2
AT1G01760	79
AT1G04057	0
AT1G01770	596
AT1G01780	172
AT1G01790	3692
AT1G04063	0
AT1G01800	1731
AT1G01810	13
AT1G01820	1676
AT1G01830	724
AT1G04067	0
AT1G01840	2
AT1G01860	260
AT1G04073	11
AT1G01870	0
AT1G01880	18
AT1G01890	0
AT1G01900	53
AT1G04077	0
AT1G01910	1088
AT1G04083	1
AT1G01920	265
AT1G01930	479
AT1G01940	202
AT1G01950	344
AT1G01960	2852
AT1G01970	445
AT1G01980	0
AT1G01990	692
AT1G02000	322
AT1G02010	188
AT1G02020	592
AT1G02030	1
AT1G02040	1
AT1G02050	154
AT1G02060	148
AT1G02065	0
AT1G02067	0
AT1G02070	0
AT1G02080	2502
AT1G02090	599
AT1G02100	976
AT1G02110	316
AT1G02120	2894
AT1G02130	1031
AT1G04087	0
AT1G02136	0
AT1G02140	1921
AT1G02145	444
AT1G02150	2547
AT1G02160	595
AT1G02170	1143
AT1G02180	21
AT1G02190	0
AT1G02205	429
AT1G08785	0
AT1G04093	0
AT1G02210	0
AT1G02220	125
AT1G02228	0
AT1G02230	95
AT1G02250	1
AT1G02260	408
AT1G02270	802
AT1G08795	2
AT1G02280	660
AT1G02290	302
AT1G02300	1268
AT1G02305	2080
AT1G04097	2
AT1G02310	0
AT1G04103	0
AT1G02320	0
AT1G02330	479
AT1G02335	257
AT1G02340	94
AT1G02350	40
AT1G04107	235
AT1G02360	236
AT1G02370	160
AT1G02380	27
AT1G02390	174
AT1G02400	86
AT1G02405	10
AT1G02410	507
AT1G02420	20
AT1G04117	1
AT1G02430	0
AT1G04123	0
AT1G02440	14
AT1G02450	149
AT1G02460	87
AT1G02470	38
AT1G02475	1702
AT1G02480	0
AT1G02490	0
AT1G02500	12038
AT1G02510	0
AT1G02520	68
AT1G02530	8
AT1G02540	0
AT1G02550	0
