Geneid	Samtools sort on data 89
AT1G01010	194
AT1G01020	128
AT1G03987	6
AT1G01030	83
AT1G01040	871
AT1G03993	0
AT1G01046	2
AT1G01050	975
AT1G03997	0
AT1G01060	59
AT1G01070	204
AT1G04003	0
AT1G01080	1983
AT1G01090	2640
AT1G01100	1551
AT1G01110	74
AT1G01120	1903
AT1G01130	19
AT1G01140	4642
AT1G01150	0
AT1G01160	816
AT1G04007	9
AT1G01170	883
AT1G04013	1
AT1G01180	781
AT1G08765	1
AT1G01183	0
AT1G01190	70
AT1G01200	3
AT1G01210	146
AT1G04017	0
AT1G01220	713
AT1G04023	0
AT1G01225	22
AT1G01230	693
AT1G01240	1488
AT1G01250	63
AT1G01260	397
AT1G01270	0
AT1G01280	0
AT1G01290	424
AT1G01300	893
AT1G01305	0
AT1G01310	2
AT1G01320	8874
AT1G01335	0
AT1G01340	119
AT1G01350	436
AT1G01355	11
AT1G01360	457
AT1G01370	7
AT1G01380	13
AT1G01390	225
AT1G01400	0
AT1G01410	0
AT1G01420	530
AT1G01430	2635
AT1G01440	986
AT1G01448	215
AT1G01450	0
AT1G01453	0
AT1G01460	0
AT1G01470	3682
AT1G01480	11
AT1G01490	3101
AT1G01500	650
AT1G01510	930
AT1G01520	19
AT1G01530	0
AT1G01540	1507
AT1G01550	6237
AT1G01560	183
AT1G01570	31
AT1G01580	47
AT1G01590	29
AT1G01600	7
AT1G01610	1074
AT1G01620	11633
AT1G01630	1629
AT1G01640	115
AT1G01650	1047
AT1G04027	9
AT1G01660	18
AT1G01670	175
AT1G01680	70
AT1G01690	47
AT1G01695	4
AT1G08775	0
AT1G04033	0
AT1G04037	1
AT1G01700	25
AT1G01710	975
AT1G01715	52
AT1G01720	1401
AT1G04043	0
AT1G01725	128
AT1G04047	4
AT1G01730	397
AT1G01740	234
AT1G01750	6
AT1G04053	5
AT1G01760	97
AT1G04057	0
AT1G01770	689
AT1G01780	235
AT1G01790	3518
AT1G04063	0
AT1G01800	1356
AT1G01810	22
AT1G01820	1691
AT1G01830	450
AT1G04067	0
AT1G01840	11
AT1G01860	356
AT1G04073	17
AT1G01870	0
AT1G01880	60
AT1G01890	0
AT1G01900	47
AT1G04077	0
AT1G01910	938
AT1G04083	3
AT1G01920	389
AT1G01930	584
AT1G01940	261
AT1G01950	420
AT1G01960	2658
AT1G01970	620
AT1G01980	1
AT1G01990	1011
AT1G02000	384
AT1G02010	192
AT1G02020	619
AT1G02030	0
AT1G02040	0
AT1G02050	213
AT1G02060	285
AT1G02065	0
AT1G02067	0
AT1G02070	0
AT1G02080	2673
AT1G02090	731
AT1G02100	1451
AT1G02110	501
AT1G02120	2211
AT1G02130	1255
AT1G04087	0
AT1G02136	0
AT1G02140	1963
AT1G02145	516
AT1G02150	2712
AT1G02160	478
AT1G02170	1179
AT1G02180	21
AT1G02190	0
AT1G02205	2032
AT1G08785	0
AT1G04093	0
AT1G02210	0
AT1G02220	81
AT1G02228	0
AT1G02230	152
AT1G02250	0
AT1G02260	395
AT1G02270	732
AT1G08795	1
AT1G02280	875
AT1G02290	365
AT1G02300	1181
AT1G02305	1841
AT1G04097	0
AT1G02310	0
AT1G04103	0
AT1G02320	0
AT1G02330	425
AT1G02335	236
AT1G02340	368
AT1G02350	51
AT1G04107	272
AT1G02360	177
AT1G02370	224
AT1G02380	80
AT1G02390	588
AT1G02400	68
AT1G02405	22
AT1G02410	458
AT1G02420	36
AT1G04117	0
AT1G02430	14
AT1G04123	0
AT1G02440	14
AT1G02450	259
AT1G02460	39
AT1G02470	29
AT1G02475	1572
AT1G02480	0
AT1G02490	0
AT1G02500	9057
AT1G02510	0
AT1G02520	88
AT1G02530	5
AT1G02540	0
AT1G02550	0
AT1G02560	6940
AT1G02570	0
AT1G02575	0
AT1G02580	3
AT1G08805	0
AT1G04127	0
AT1G02590	0
AT1G02600	0
AT1G02610	1678
AT1G02620	251
AT1G04133	1
AT1G04137	0
AT1G02630	2
AT1G02640	432
AT1G02650	65
AT1G02660	1629
AT1G02670	15
AT1G02680	311
AT1G02681	0
AT1G04143	0
AT1G02690	76
AT1G02700	16
AT1G02705	0
AT1G02710	0
AT1G02720	156
AT1G02730	96
AT1G02740	415
AT1G02750	418
AT1G02760	0
AT1G02770	37
AT1G02780	7705
AT1G02790	0
AT1G02800	13
AT1G02810	2
AT1G02813	0
AT1G02816	274
AT1G02820	182
AT1G02830	1
AT1G02840	1727
AT1G02850	251
AT1G02860	532
AT1G04147	2
AT1G02870	343
AT1G04153	0
AT1G08815	13
AT1G02880	315
AT1G02890	3230
AT1G02900	9
AT1G02910	1238
AT1G02920	2140
AT1G02930	1993
AT1G02940	8
AT1G02950	12
AT1G02952	0
AT1G02960	362
AT1G02965	0
AT1G02970	6
AT1G02980	0
AT1G02990	677
AT1G03000	1035
AT1G03010	31
AT1G03020	86
AT1G03030	339
AT1G03040	910
AT1G03050	0
AT1G03055	84
AT1G03060	1408
AT1G03070	36
AT1G03080	1969
AT1G03090	1359
AT1G04157	0
AT1G03100	45
AT1G04163	0
AT1G03103	0
AT1G03106	2
AT1G03110	108
AT1G03120	2
AT1G03130	58516
AT1G03140	1647
AT1G03150	551
AT1G04167	0
AT1G03160	2159
AT1G03165	0
AT1G04173	3
AT1G03170	7
AT1G03180	34
AT1G03190	286
AT1G04177	0
AT1G03200	5
AT1G03210	340
AT1G03220	2509
AT1G03230	791
AT1G03240	0
AT1G03250	640
AT1G03260	158
AT1G03270	59
AT1G03280	852
AT1G03290	1155
AT1G03300	0
AT1G03310	2426
AT1G03320	1
AT1G03325	0
AT1G03330	399
AT1G03340	133
AT1G03350	1155
AT1G03360	258
AT1G03365	648
AT1G03370	1705
AT1G03380	2210
AT1G03390	2
AT1G03395	0
AT1G03400	1884
AT1G03410	210
AT1G04183	0
AT1G03420	0
AT1G03430	716
AT1G03440	429
AT1G03445	2
AT1G03457	64
AT1G03470	136
AT1G03475	4553
AT1G03490	0
AT1G03495	239
AT1G04187	2
AT1G04193	0
AT1G03502	1
AT1G03506	3
AT1G04197	0
AT1G03510	67
AT1G03515	0
AT1G03520	396
AT1G03530	473
AT1G03540	69
AT1G03550	43
AT1G03545	11
AT1G08825	48
AT1G03560	273
AT1G03570	0
AT1G03580	111
AT1G03590	772
AT1G03600	6890
AT1G03610	1959
AT1G03620	45
AT1G03630	6015
AT1G03640	0
AT1G03650	108
AT1G03660	9
AT1G04203	0
AT1G03670	0
AT1G03680	7863
AT1G03687	217
AT1G03700	0
AT1G03710	3
AT1G03720	0
AT1G04207	0
AT1G03730	431
AT1G03740	4378
AT1G04213	0
AT1G03743	0
AT1G03746	0
AT1G03750	158
AT1G03760	287
AT1G03770	138
AT1G03780	17
AT1G03790	0
AT1G03800	1
AT1G03810	0
AT1G03820	265
AT1G03830	244
AT1G03840	36
AT1G03850	416
AT1G03860	1484
AT1G03870	3534
AT1G03880	0
AT1G03890	0
AT1G03900	2132
AT1G03905	18
AT1G03910	1410
AT1G03920	10
AT1G03930	883
AT1G04217	1
AT1G03935	18
AT1G04223	0
AT1G03940	108
AT1G04227	0
AT1G03950	318
AT1G03960	400
AT1G03970	791
AT1G04233	0
AT1G03980	2
AT1G03982	0
AT1G03990	160
AT1G04000	244
AT1G04010	175
AT1G04020	31
AT1G04030	112
AT1G04040	261
AT1G04237	5
AT1G04050	48
AT1G04070	78
AT1G04080	2445
AT1G04090	6
AT1G04100	69
AT1G04105	0
AT1G04110	0
AT1G04120	1172
AT1G04243	0
AT1G04130	219
AT1G04140	3125
AT1G04150	0
AT1G04160	105
AT1G04170	1639
AT1G04180	6
AT1G04190	669
AT1G04200	493
AT1G04210	1106
AT1G04220	17
AT1G04247	0
AT1G04230	290
AT1G04240	580
AT1G04253	0
AT1G04250	244
AT1G04260	316
AT1G04270	2235
AT1G04280	907
AT1G04290	100
AT1G04295	0
AT1G04300	2536
AT1G04310	64
AT1G04320	0
AT1G04330	6
AT1G04340	296
AT1G04350	2153
AT1G04360	49
AT1G04370	0
AT1G04380	3
AT1G04257	0
AT1G04390	414
AT1G04400	8773
AT1G04410	10624
AT1G04420	3344
AT1G04425	0
AT1G08835	0
AT1G04430	1973
AT1G04440	2178
AT1G04445	0
AT1G04450	0
AT1G04455	0
AT1G04457	0
AT1G04470	0
AT1G04263	0
AT1G04480	842
AT1G04267	4
AT1G04273	12
AT1G04277	8
AT1G04490	15
AT1G04500	4
AT1G04510	977
AT1G04520	40
AT1G04530	2166
AT1G04540	48
AT1G04550	391
AT1G04555	108
AT1G04560	0
AT1G04570	56
AT1G08855	0
AT1G04580	3
AT1G04590	334
AT1G04600	9
AT1G04610	0
AT1G04620	385
AT1G04625	0
AT1G04630	359
AT1G04635	25
AT1G04640	1129
