Geneid	Samtools sort on data 95
AT1G01010	277
AT1G01020	169
AT1G03987	1
AT1G01030	101
AT1G01040	906
AT1G03993	0
AT1G01046	4
AT1G01050	1025
AT1G03997	0
AT1G01060	65
AT1G01070	119
AT1G04003	0
AT1G01080	2443
AT1G01090	3385
AT1G01100	2234
AT1G01110	111
AT1G01120	3171
AT1G01130	62
AT1G01140	4019
AT1G01150	1
AT1G01160	747
AT1G04007	5
AT1G01170	1033
AT1G04013	0
AT1G01180	754
AT1G08765	5
AT1G01183	0
AT1G01190	165
AT1G01200	6
AT1G01210	207
AT1G04017	0
AT1G01220	773
AT1G04023	0
AT1G01225	57
AT1G01230	758
AT1G01240	1179
AT1G01250	29
AT1G01260	385
AT1G01270	0
AT1G01280	0
AT1G01290	361
AT1G01300	1470
AT1G01305	0
AT1G01310	0
AT1G01320	10555
AT1G01335	0
AT1G01340	177
AT1G01350	440
AT1G01355	4
AT1G01360	362
AT1G01370	24
AT1G01380	2
AT1G01390	186
AT1G01400	0
AT1G01410	0
AT1G01420	494
AT1G01430	2808
AT1G01440	1027
AT1G01448	191
AT1G01450	0
AT1G01453	2
AT1G01460	0
AT1G01470	2944
AT1G01480	30
AT1G01490	2830
AT1G01500	838
AT1G01510	1122
AT1G01520	12
AT1G01530	0
AT1G01540	2281
AT1G01550	5924
AT1G01560	369
AT1G01570	55
AT1G01580	38
AT1G01590	15
AT1G01600	5
AT1G01610	1672
AT1G01620	14566
AT1G01630	1827
AT1G01640	127
AT1G01650	1118
AT1G04027	10
AT1G01660	22
AT1G01670	143
AT1G01680	210
AT1G01690	61
AT1G01695	6
AT1G08775	1
AT1G04033	0
AT1G04037	6
AT1G01700	32
AT1G01710	1116
AT1G01715	44
AT1G01720	1485
AT1G04043	0
AT1G01725	137
AT1G04047	10
AT1G01730	491
AT1G01740	193
AT1G01750	7
AT1G04053	7
AT1G01760	109
AT1G04057	0
AT1G01770	698
AT1G01780	257
AT1G01790	4020
AT1G04063	0
AT1G01800	1550
AT1G01810	21
AT1G01820	1685
AT1G01830	448
AT1G04067	0
AT1G01840	10
AT1G01860	346
AT1G04073	18
AT1G01870	0
AT1G01880	39
AT1G01890	0
AT1G01900	97
AT1G04077	0
AT1G01910	1128
AT1G04083	0
AT1G01920	361
AT1G01930	605
AT1G01940	306
AT1G01950	476
AT1G01960	3186
AT1G01970	647
AT1G01980	0
AT1G01990	1097
AT1G02000	460
AT1G02010	215
AT1G02020	812
AT1G02030	2
AT1G02040	0
AT1G02050	245
AT1G02060	295
AT1G02065	0
AT1G02067	0
AT1G02070	0
AT1G02080	2874
AT1G02090	862
AT1G02100	1422
AT1G02110	742
AT1G02120	2803
AT1G02130	1192
AT1G04087	0
AT1G02136	0
AT1G02140	2433
AT1G02145	568
AT1G02150	3804
AT1G02160	597
AT1G02170	1389
AT1G02180	43
AT1G02190	5
AT1G02205	2702
AT1G08785	0
AT1G04093	0
AT1G02210	0
AT1G02220	85
AT1G02228	0
AT1G02230	159
AT1G02250	0
AT1G02260	413
AT1G02270	860
AT1G08795	2
AT1G02280	1135
AT1G02290	319
AT1G02300	919
AT1G02305	1855
AT1G04097	1
AT1G02310	1
AT1G04103	0
AT1G02320	0
AT1G02330	453
AT1G02335	712
AT1G02340	162
AT1G02350	49
AT1G04107	432
AT1G02360	306
AT1G02370	221
AT1G02380	166
AT1G02390	530
AT1G02400	139
AT1G02405	21
AT1G02410	527
AT1G02420	30
AT1G04117	4
AT1G02430	22
AT1G04123	1
AT1G02440	25
AT1G02450	261
AT1G02460	72
AT1G02470	28
AT1G02475	1622
AT1G02480	0
AT1G02490	0
AT1G02500	14848
AT1G02510	0
AT1G02520	134
AT1G02530	1
AT1G02540	0
AT1G02550	0
AT1G02560	7611
AT1G02570	0
AT1G02575	0
AT1G02580	3
AT1G08805	1
AT1G04127	0
AT1G02590	0
AT1G02600	0
AT1G02610	993
AT1G02620	174
AT1G04133	0
AT1G04137	0
AT1G02630	4
AT1G02640	852
AT1G02650	133
AT1G02660	3533
AT1G02670	32
AT1G02680	292
AT1G02681	0
AT1G04143	0
AT1G02690	124
AT1G02700	19
AT1G02705	1
AT1G02710	0
AT1G02720	245
AT1G02730	201
AT1G02740	407
AT1G02750	427
AT1G02760	0
AT1G02770	15
AT1G02780	11174
AT1G02790	2
AT1G02800	28
AT1G02810	14
AT1G02813	0
AT1G02816	325
AT1G02820	163
AT1G02830	0
AT1G02840	2416
AT1G02850	319
AT1G02860	406
AT1G04147	6
AT1G02870	396
AT1G04153	0
AT1G08815	10
AT1G02880	356
AT1G02890	2999
AT1G02900	18
AT1G02910	1509
AT1G02920	4539
AT1G02930	4716
AT1G02940	8
AT1G02950	58
AT1G02952	0
AT1G02960	371
AT1G02965	0
AT1G02970	36
AT1G02980	0
AT1G02990	614
AT1G03000	1056
AT1G03010	28
AT1G03020	42
AT1G03030	368
AT1G03040	988
AT1G03050	2
AT1G03055	125
AT1G03060	1629
AT1G03070	37
AT1G03080	1706
AT1G03090	1782
AT1G04157	0
AT1G03100	43
AT1G04163	0
AT1G03103	0
AT1G03106	2
AT1G03110	162
AT1G03120	2
AT1G03130	73999
AT1G03140	1732
AT1G03150	495
AT1G04167	0
AT1G03160	2307
AT1G03165	4
AT1G04173	1
AT1G03170	7
AT1G03180	34
AT1G03190	303
AT1G04177	0
AT1G03200	3
AT1G03210	412
AT1G03220	3515
AT1G03230	1232
AT1G03240	1
AT1G03250	647
AT1G03260	207
AT1G03270	78
AT1G03280	836
AT1G03290	1001
AT1G03300	0
AT1G03310	2145
