Geneid	Samtools sort on data 91
AT1G01010	648
AT1G01020	126
AT1G03987	0
AT1G01030	55
AT1G01040	1116
AT1G03993	0
AT1G01046	1
AT1G01050	785
AT1G03997	0
AT1G01060	146
AT1G01070	255
AT1G04003	0
AT1G01080	839
AT1G01090	1913
AT1G01100	1538
AT1G01110	22
AT1G01120	391
AT1G01130	8
AT1G01140	3881
AT1G01150	0
AT1G01160	641
AT1G04007	18
AT1G01170	458
AT1G04013	2
AT1G01180	1019
AT1G08765	0
AT1G01183	0
AT1G01190	10
AT1G01200	2
AT1G01210	121
AT1G04017	0
AT1G01220	579
AT1G04023	0
AT1G01225	13
AT1G01230	849
AT1G01240	2154
AT1G01250	19
AT1G01260	431
AT1G01270	0
AT1G01280	0
AT1G01290	333
AT1G01300	614
AT1G01305	0
AT1G01310	1
AT1G01320	8484
AT1G01335	0
AT1G01340	850
AT1G01350	418
AT1G01355	13
AT1G01360	340
AT1G01370	5
AT1G01380	3
AT1G01390	253
AT1G01400	0
AT1G01410	0
AT1G01420	437
AT1G01430	1485
AT1G01440	1051
AT1G01448	167
AT1G01450	0
AT1G01453	3
AT1G01460	0
AT1G01470	2984
AT1G01480	33
AT1G01490	3345
AT1G01500	740
AT1G01510	648
AT1G01520	7
AT1G01530	3
AT1G01540	857
AT1G01550	8356
AT1G01560	519
AT1G01570	31
AT1G01580	51
AT1G01590	21
AT1G01600	7
AT1G01610	535
AT1G01620	5443
AT1G01630	1509
AT1G01640	126
AT1G01650	1502
AT1G04027	4
AT1G01660	33
AT1G01670	125
AT1G01680	562
AT1G01690	52
AT1G01695	9
AT1G08775	4
AT1G04033	0
AT1G04037	5
AT1G01700	51
AT1G01710	1101
AT1G01715	35
AT1G01720	688
AT1G04043	0
AT1G01725	136
AT1G04047	4
AT1G01730	747
AT1G01740	186
AT1G01750	6
AT1G04053	8
AT1G01760	66
AT1G04057	0
AT1G01770	631
AT1G01780	198
AT1G01790	2898
AT1G04063	0
AT1G01800	1518
AT1G01810	4
AT1G01820	1980
AT1G01830	745
AT1G04067	0
AT1G01840	0
AT1G01860	187
AT1G04073	5
AT1G01870	0
AT1G01880	20
AT1G01890	0
AT1G01900	20
AT1G04077	0
AT1G01910	1021
AT1G04083	0
AT1G01920	277
AT1G01930	489
AT1G01940	237
AT1G01950	269
AT1G01960	3221
AT1G01970	313
AT1G01980	0
AT1G01990	650
AT1G02000	313
AT1G02010	187
AT1G02020	507
AT1G02030	6
AT1G02040	1
AT1G02050	143
AT1G02060	161
AT1G02065	0
AT1G02067	0
AT1G02070	0
AT1G02080	2981
AT1G02090	589
AT1G02100	1181
AT1G02110	205
AT1G02120	3475
AT1G02130	1160
AT1G04087	0
AT1G02136	0
AT1G02140	1937
AT1G02145	486
AT1G02150	1719
AT1G02160	378
AT1G02170	1606
AT1G02180	6
AT1G02190	0
AT1G02205	159
AT1G08785	0
AT1G04093	0
AT1G02210	0
AT1G02220	157
AT1G02228	0
AT1G02230	167
AT1G02250	0
AT1G02260	501
AT1G02270	878
AT1G08795	2
AT1G02280	515
AT1G02290	224
AT1G02300	1201
AT1G02305	2458
AT1G04097	3
AT1G02310	1
AT1G04103	0
AT1G02320	0
AT1G02330	556
AT1G02335	123
AT1G02340	258
AT1G02350	25
AT1G04107	133
AT1G02360	520
AT1G02370	209
AT1G02380	18
AT1G02390	282
AT1G02400	277
AT1G02405	15
AT1G02410	655
AT1G02420	23
AT1G04117	0
AT1G02430	23
AT1G04123	0
AT1G02440	65
AT1G02450	288
AT1G02460	164
AT1G02470	138
AT1G02475	1581
AT1G02480	0
AT1G02490	0
AT1G02500	14470
AT1G02510	0
AT1G02520	270
AT1G02530	5
AT1G02540	0
AT1G02550	0
AT1G02560	7304
AT1G02570	1
AT1G02575	0
AT1G02580	6
AT1G08805	5
AT1G04127	0
AT1G02590	0
AT1G02600	0
AT1G02610	2448
AT1G02620	292
AT1G04133	5
AT1G04137	0
AT1G02630	4
AT1G02640	223
AT1G02650	49
AT1G02660	1854
AT1G02670	9
AT1G02680	272
AT1G02681	1
AT1G04143	0
AT1G02690	64
AT1G02700	4
AT1G02705	0
AT1G02710	0
AT1G02720	81
AT1G02730	26
AT1G02740	473
AT1G02750	421
AT1G02760	0
AT1G02770	41
AT1G02780	8497
AT1G02790	1
AT1G02800	1
AT1G02810	1
AT1G02813	0
AT1G02816	232
AT1G02820	61
AT1G02830	0
AT1G02840	1728
AT1G02850	710
AT1G02860	394
AT1G04147	0
AT1G02870	367
AT1G04153	0
AT1G08815	18
AT1G02880	422
AT1G02890	3327
AT1G02900	12
AT1G02910	1033
AT1G02920	24180
AT1G02930	22826
AT1G02940	14
AT1G02950	38
AT1G02952	0
AT1G02960	383
AT1G02965	0
AT1G02970	3
AT1G02980	0
AT1G02990	949
AT1G03000	950
AT1G03010	44
AT1G03020	56
AT1G03030	424
AT1G03040	1075
AT1G03050	0
AT1G03055	29
AT1G03060	1994
AT1G03070	11
AT1G03080	2662
AT1G03090	1847
