Geneid	Samtools sort on data 94
AT1G01010	174
AT1G01020	160
AT1G03987	6
AT1G01030	113
AT1G01040	969
AT1G03993	0
AT1G01046	5
AT1G01050	954
AT1G03997	0
AT1G01060	43
AT1G01070	112
AT1G04003	0
AT1G01080	2421
AT1G01090	3351
AT1G01100	1526
AT1G01110	109
AT1G01120	2945
AT1G01130	42
AT1G01140	3606
AT1G01150	0
AT1G01160	631
AT1G04007	10
AT1G01170	741
AT1G04013	4
AT1G01180	591
AT1G08765	3
AT1G01183	0
AT1G01190	83
AT1G01200	11
AT1G01210	121
AT1G04017	0
AT1G01220	753
AT1G04023	0
AT1G01225	38
AT1G01230	596
AT1G01240	1110
AT1G01250	31
AT1G01260	323
AT1G01270	0
AT1G01280	0
AT1G01290	384
AT1G01300	1173
AT1G01305	0
AT1G01310	0
AT1G01320	10093
AT1G01335	0
AT1G01340	156
AT1G01350	483
AT1G01355	3
AT1G01360	377
AT1G01370	43
AT1G01380	13
AT1G01390	186
AT1G01400	0
AT1G01410	0
AT1G01420	329
AT1G01430	2652
AT1G01440	1029
AT1G01448	190
AT1G01450	0
AT1G01453	0
AT1G01460	0
AT1G01470	2666
AT1G01480	5
AT1G01490	2747
AT1G01500	575
AT1G01510	937
AT1G01520	31
AT1G01530	0
AT1G01540	2154
AT1G01550	5846
AT1G01560	192
AT1G01570	55
AT1G01580	46
AT1G01590	14
AT1G01600	3
AT1G01610	1107
AT1G01620	11651
AT1G01630	1512
AT1G01640	116
AT1G01650	958
AT1G04027	4
AT1G01660	21
AT1G01670	124
AT1G01680	72
AT1G01690	63
AT1G01695	10
AT1G08775	0
AT1G04033	0
AT1G04037	2
AT1G01700	41
AT1G01710	1054
AT1G01715	61
AT1G01720	1261
AT1G04043	0
AT1G01725	98
AT1G04047	2
AT1G01730	359
AT1G01740	203
AT1G01750	9
AT1G04053	12
AT1G01760	90
AT1G04057	0
AT1G01770	712
AT1G01780	263
AT1G01790	4617
AT1G04063	0
AT1G01800	1450
AT1G01810	25
AT1G01820	1400
AT1G01830	439
AT1G04067	0
AT1G01840	10
AT1G01860	266
AT1G04073	11
AT1G01870	0
AT1G01880	54
AT1G01890	0
AT1G01900	82
AT1G04077	0
AT1G01910	1037
AT1G04083	2
AT1G01920	438
AT1G01930	556
AT1G01940	286
AT1G01950	529
AT1G01960	3072
AT1G01970	643
AT1G01980	0
AT1G01990	907
AT1G02000	403
AT1G02010	241
AT1G02020	669
AT1G02030	2
AT1G02040	4
AT1G02050	179
AT1G02060	229
AT1G02065	1
AT1G02067	0
AT1G02070	2
AT1G02080	2801
AT1G02090	660
AT1G02100	1306
AT1G02110	562
AT1G02120	2197
AT1G02130	1105
AT1G04087	0
AT1G02136	0
AT1G02140	1861
AT1G02145	538
AT1G02150	3086
AT1G02160	415
AT1G02170	910
AT1G02180	38
AT1G02190	2
AT1G02205	2898
AT1G08785	0
AT1G04093	0
AT1G02210	0
AT1G02220	73
AT1G02228	0
AT1G02230	171
AT1G02250	1
AT1G02260	375
AT1G02270	736
AT1G08795	0
AT1G02280	1070
AT1G02290	365
AT1G02300	980
AT1G02305	1521
AT1G04097	1
AT1G02310	2
AT1G04103	0
AT1G02320	0
AT1G02330	449
AT1G02335	583
AT1G02340	357
AT1G02350	46
AT1G04107	325
AT1G02360	175
AT1G02370	258
AT1G02380	185
AT1G02390	602
AT1G02400	64
AT1G02405	12
AT1G02410	623
AT1G02420	23
AT1G04117	2
AT1G02430	11
AT1G04123	0
AT1G02440	15
AT1G02450	230
AT1G02460	54
AT1G02470	20
AT1G02475	1523
AT1G02480	0
AT1G02490	0
AT1G02500	11583
AT1G02510	0
AT1G02520	30
AT1G02530	3
AT1G02540	0
AT1G02550	0
AT1G02560	6673
AT1G02570	0
AT1G02575	0
AT1G02580	2
AT1G08805	0
AT1G04127	0
AT1G02590	0
AT1G02600	0
AT1G02610	1304
AT1G02620	181
AT1G04133	2
AT1G04137	0
AT1G02630	3
AT1G02640	616
AT1G02650	100
AT1G02660	2722
AT1G02670	45
AT1G02680	286
AT1G02681	0
AT1G04143	0
AT1G02690	106
AT1G02700	15
AT1G02705	0
AT1G02710	0
AT1G02720	222
AT1G02730	162
AT1G02740	429
AT1G02750	313
AT1G02760	0
AT1G02770	22
AT1G02780	7986
AT1G02790	0
AT1G02800	33
AT1G02810	12
AT1G02813	0
AT1G02816	272
AT1G02820	164
AT1G02830	0
AT1G02840	1901
AT1G02850	233
AT1G02860	492
AT1G04147	2
AT1G02870	298
AT1G04153	4
AT1G08815	19
AT1G02880	362
AT1G02890	3231
AT1G02900	10
AT1G02910	1444
AT1G02920	2256
AT1G02930	2271
AT1G02940	5
AT1G02950	58
AT1G02952	0
AT1G02960	424
AT1G02965	0
AT1G02970	34
AT1G02980	1
AT1G02990	816
AT1G03000	1170
AT1G03010	35
AT1G03020	56
AT1G03030	345
AT1G03040	888
AT1G03050	0
AT1G03055	107
AT1G03060	1483
AT1G03070	21
AT1G03080	1907
