Geneid	Samtools sort on data 92
AT1G01010	798
AT1G01020	215
AT1G03987	6
AT1G01030	156
AT1G01040	2175
AT1G03993	0
AT1G01046	11
AT1G01050	1322
AT1G03997	0
AT1G01060	819
AT1G01070	135
AT1G04003	0
AT1G01080	982
AT1G01090	2271
AT1G01100	1712
AT1G01110	18
AT1G01120	684
AT1G01130	11
AT1G01140	6502
AT1G01150	0
AT1G01160	692
AT1G04007	10
AT1G01170	504
AT1G04013	2
AT1G01180	826
AT1G08765	0
AT1G01183	0
AT1G01190	25
AT1G01200	16
AT1G01210	187
AT1G04017	0
AT1G01220	475
AT1G04023	0
AT1G01225	13
AT1G01230	755
AT1G01240	1486
AT1G01250	54
AT1G01260	788
AT1G01270	0
AT1G01280	0
AT1G01290	522
AT1G01300	1509
AT1G01305	0
AT1G01310	1
AT1G01320	10453
AT1G01335	0
AT1G01340	1485
AT1G01350	483
AT1G01355	8
AT1G01360	464
AT1G01370	26
AT1G01380	5
AT1G01390	171
AT1G01400	0
AT1G01410	0
AT1G01420	771
AT1G01430	1058
AT1G01440	892
AT1G01448	140
AT1G01450	0
AT1G01453	2
AT1G01460	0
AT1G01470	3184
AT1G01480	569
AT1G01490	3422
AT1G01500	796
AT1G01510	753
AT1G01520	27
AT1G01530	12
AT1G01540	1526
AT1G01550	7147
AT1G01560	1004
AT1G01570	20
AT1G01580	9
AT1G01590	11
AT1G01600	12
AT1G01610	304
AT1G01620	1970
AT1G01630	1459
AT1G01640	103
AT1G01650	3293
AT1G04027	22
AT1G01660	71
AT1G01670	144
AT1G01680	3627
AT1G01690	75
AT1G01695	2
AT1G08775	0
AT1G04033	0
AT1G04037	4
AT1G01700	51
AT1G01710	1596
AT1G01715	32
AT1G01720	819
AT1G04043	0
AT1G01725	188
AT1G04047	2
AT1G01730	851
AT1G01740	189
AT1G01750	1
AT1G04053	1
AT1G01760	50
AT1G04057	0
AT1G01770	577
AT1G01780	243
AT1G01790	2330
AT1G04063	0
AT1G01800	2338
AT1G01810	14
AT1G01820	1500
AT1G01830	634
AT1G04067	0
AT1G01840	0
AT1G01860	184
AT1G04073	8
AT1G01870	0
AT1G01880	24
AT1G01890	0
AT1G01900	91
AT1G04077	0
AT1G01910	1257
AT1G04083	3
AT1G01920	325
AT1G01930	479
AT1G01940	366
AT1G01950	279
AT1G01960	3303
AT1G01970	512
AT1G01980	1
AT1G01990	1091
AT1G02000	327
AT1G02010	189
AT1G02020	690
AT1G02030	0
AT1G02040	3
AT1G02050	282
AT1G02060	321
AT1G02065	4
AT1G02067	0
AT1G02070	0
AT1G02080	3230
AT1G02090	1175
AT1G02100	2360
AT1G02110	222
AT1G02120	5313
AT1G02130	1273
AT1G04087	0
AT1G02136	0
AT1G02140	2371
AT1G02145	509
AT1G02150	2563
AT1G02160	459
AT1G02170	1988
AT1G02180	19
AT1G02190	0
AT1G02205	79
AT1G08785	0
AT1G04093	0
AT1G02210	0
AT1G02220	415
AT1G02228	0
AT1G02230	75
